Reference,Quantity,Value,Description,Manufacturer,Voltage rating,Tolerance,Manufacturer part number,Status,Digi-Key PN,Packaging,Stock,Minimum Order Quantity,Standard Pricing
U6,1,REF3040AIDBZT,IC VREF SERIES 0.2% SOT23-3,Texas Instruments,,,REF3040AIDBZT,OK,REF3040AIDBZTCT-ND,Cut Tape (CT),0,1,"CAD 1.99 (1-9), 1.784 (10-24), 1.6936 (25-99), 1.391 (100+)"
U3,1,LM2611BMF,IC REG CUK ADJ 900MA SOT23-5,Texas Instruments,,,LM2611BMF/NOPB,OK,LM2611BMF/NOPBCT-ND,Cut Tape (CT),0,1,"CAD 5.87 (1-9), 5.267 (10-24), 4.9792 (25-99), 4.3154 (100-249), 4.09416 (250-499), 3.67368 (500+)"
L1-L3,3,10uH,FIXED IND 10UH 680MA 468MOHM SMD,Taiyo Yuden,,,CBC2518T100M,OK,587-1613-1-ND,Cut Tape (CT),0,1,"CAD 0.32 (1-9), 0.287 (10-24), 0.2556 (25-49), 0.2172 (50-99), 0.1916 (100-249), 0.17568 (250-499), 0.1597 (500-999), 0.13415 (1000+)"
U5,1,DAC8311IDCKR,IC DAC 14BIT V-OUT SC70-6,Texas Instruments,,,DAC8311IDCKR,OK,296-49163-1-ND,Cut Tape (CT),0,1,"CAD 7.9 (1-9), 7.091 (10-24), 6.7036 (25-99), 5.81 (100-249), 5.512 (250-499), 4.94594 (500-999), 4.91896 (1000+)"
U2,1,DCPA10505P-U/700,DC DC CONVERTER 5V 1W,Texas Instruments,,,DCPA10505P-U/700,OK,296-51051-1-ND,Cut Tape (CT),126,1,CAD 12.3 (1+)
U10,1,74LVC1G3157,IC SWITCH SPDT SOT23-6,Texas Instruments,,,1P1G3157QDBVRQ1,OK,296-18349-1-ND,Cut Tape (CT),218,1,"CAD 0.68 (1-9), 0.582 (10-24), 0.544 (25-99), 0.4353 (100-249), 0.40416 (250-499), 0.34198 (500-999), 0.26424 (1000+)"
U4,1,LMR64010XMFE/NOPB,IC REG BOOST ADJ 1A SOT23-5,Texas Instruments,,,LMR64010XMFE/NOPB,OK,LMR64010XMFE/NOPBCT-ND,Cut Tape (CT),704,1,"CAD 3.03 (1-9), 2.724 (10-24), 2.5704 (25-99), 2.1897 (100+)"
U8-U9,2,TLV9302IDR,IC OPAMP GP 2 CIRCUIT 8SOIC,Texas Instruments,,,TLV9302IDR,OK,296-53513-1-ND,Cut Tape (CT),1363,1,"CAD 1.41 (1-9), 1.257 (10-24), 1.1936 (25-99), 0.9805 (100-249), 0.91656 (250-499), 0.80998 (500-999), 0.7038 (1000+)"
U7,1,TLV9301IDCKR,"SINGLE 1MHZ, 40-V, RRO, MUX-FRIE",Texas Instruments,,,TLV9301IDCKR,OK,296-TLV9301IDCKRCT-ND,Cut Tape (CT),1510,1,"CAD 1.07 (1-9), 0.939 (10-24), 0.8828 (25-99), 0.7203 (100-249), 0.66908 (250-499), 0.56942 (500-999), 0.47004 (1000+)"
D1-D2,2,SD103AWS-TP,DIODE SCHOTTKY 350MA 40V SOD323,Vishay General Semiconductor - Diodes Division,40V,,SD103AWS-G3-18,OK,SD103AWS-G3-18GICT-ND,Cut Tape (CT),1873,1,"CAD 0.61 (1-9), 0.457 (10-99), 0.2589 (100-499), 0.1714 (500-999), 0.13142 (1000-1999), 0.11428 (2000-4999), 0.10285 (5000+)"
U1,1,ADUM7440ARQZ,DGTL ISO 1000VRMS 4CH GP 16QSOP,Analog Devices Inc.,,,ADUM7440ARQZ-RL7,OK,ADUM7440ARQZ-RL7CT-ND,Cut Tape (CT),3622,1,"CAD 6.32 (1-9), 5.677 (10-24), 5.3672 (25-99), 4.6515 (100-249), 4.41308 (250-499), 3.95982 (500+)"
R8,1,16K20,RES SMD 16.2KOHM 0.1% 1/16W 0402,YAGEO,50V,0.1%,RT0402BRD0716K2L,OK,YAG4179CT-ND,Cut Tape (CT),5286,1,"CAD 0.55 (1-9), 0.465 (10-99), 0.1815 (100-999), 0.07599 (1000-2499), 0.06967 (2500-4999), 0.06333 (5000+)"
R19-R20,2,15R0,RES 15 OHM 0.1% 1/10W 0603,"KOA Speer Electronics, Inc.",75V,0.1%,RN73H1JTTD15R0B25,OK,2019-RN73H1JTTD15R0B25CT-ND,Cut Tape (CT),9853,1,"CAD 0.77 (1-9), 0.549 (10-99), 0.2854 (100-999), 0.15367 (1000-2499), 0.14818 (2500+)"
R11-R14,4,453K,RES 453K OHM 0.1% 1/8W 0805,Panasonic Electronic Components,100V,0.1%,ERA-6AEB4533V,OK,P453KDACT-ND,Cut Tape (CT),9915,1,"CAD 0.45 (1-9), 0.38 (10-99), 0.1485 (100-999), 0.0622 (1000-2499), 0.05702 (2500+)"
