Reference,Quantity,Value,Description,Manufacturer,Voltage rating,Tolerance,Manufacturer part number,Status,Digi-Key PN,Packaging,Stock,Minimum Order Quantity,Standard Pricing
L1-L3,3,10uH,FIXED IND 10UH 680MA 468MOHM SMD,Taiyo Yuden,,,CBC2518T100M,OK,587-1613-1-ND,Cut Tape (CT),1671,1,"CAD 0.32 (1-9), 0.292 (10-24), 0.2592 (25-49), 0.2204 (50-99), 0.1945 (100-249), 0.17832 (250-499), 0.16212 (500-999), 0.13618 (1000+)"
R3,1,29K4,RES 29.4K OHM 0.1% 1/10W 0402,TE Connectivity Passive Product,50V,0.1%,RP73PF1E29K4BTD,OK,A127460CT-ND,Cut Tape (CT),11224,1,"CAD 0.87 (1-9), 0.669 (10-99), 0.2811 (100-999), 0.15508 (1000-2499), 0.14538 (2500+)"
C32,1,22pF,CAP CER 22PF 50V C0G/NP0 0402,AVX Corporation,50V,10%,04025A220KAT2A,OK,478-3660-1-ND,Cut Tape (CT),1241604,1,"CAD 0.14 (1-9), 0.035 (10-49), 0.019 (50-99), 0.0156 (100-499), 0.01112 (500-999), 0.00875 (1000-2499), 0.00796 (2500-4999), 0.00732 (5000+)"
R19-R20,2,15R0,RES 15 OHM 0.1% 1/10W 0603,"KOA Speer Electronics, Inc.",75V,0.1%,RN73H1JTTD15R0B25,OK,2019-RN73H1JTTD15R0B25CT-ND,Cut Tape (CT),14853,1,"CAD 0.78 (1-9), 0.557 (10-99), 0.2898 (100-999), 0.15599 (1000-2499), 0.15042 (2500+)"
U5,1,DAC8311IDCKR,IC DAC 14BIT V-OUT SC70-6,Texas Instruments,,,DAC8311IDCKR,OK,296-49163-1-ND,Cut Tape (CT),0,1,"CAD 8.02 (1-9), 7.198 (10-24), 6.8048 (25-99), 5.8978 (100-249), 5.59532 (250-499), 5.0207 (500-999), 4.99331 (1000+)"
D3,1,LED GREEN,LED GREEN DIFFUSED 0603 SMD,Rohm Semiconductor,,,SML-D12P8WT86,OK,511-1579-1-ND,Cut Tape (CT),164048,1,"CAD 0.46 (1-9), 0.246 (10-99), 0.1145 (100-499), 0.10562 (500-999), 0.08274 (1000+)"
C19,1,10nF,CAP CER 10000PF 50V X7R 0402,Murata Electronics,16V,10%,GCM155R71H103KA55D,OK,490-4762-1-ND,Cut Tape (CT),26003574,1,"CAD 0.14 (1-9), 0.04 (10-49), 0.0218 (50-99), 0.0179 (100-499), 0.01278 (500-999), 0.01005 (1000-2499), 0.00914 (2500-4999), 0.0084 (5000+)"
J2,1,ClickBoard,CONN HEADER VERT 8POS 2.54MM,Würth Elektronik,,,61300811121,OK,732-5321-ND,Bulk,0,1,"CAD 0.53 (1-9), 0.451 (10-24), 0.3764 (25-49), 0.3142 (50-99), 0.2851 (100-999), 0.25881 (1000+)"
J1,1,HEADER 3,TERM BLK 3POS SIDE ENTRY 5MM PCB,Phoenix Contact,,,1935174,OK,277-1578-ND,Bulk,15245,1,"CAD 0.9 (1-9), 0.859 (10-49), 0.8222 (50-99), 0.7997 (100-249), 0.74736 (250-499), 0.7115 (500+)"
R7,1,8K450,RES SMD 8.45KOHM 0.1% 1/16W 0402,Panasonic Electronic Components,50V,0.1%,ERA-2AEB8451X,OK,P8.45KDCCT-ND,Cut Tape (CT),24445,1,"CAD 0.57 (1-9), 0.41 (10-99), 0.1637 (100-999), 0.08068 (1000-2499), 0.07475 (2500-4999), 0.06762 (5000+)"
R8,1,16K20,RES SMD 16.2KOHM 0.1% 1/16W 0402,YAGEO,50V,0.1%,RT0402BRD0716K2L,OK,YAG4179CT-ND,Cut Tape (CT),5636,1,"CAD 0.56 (1-9), 0.472 (10-99), 0.1842 (100-999), 0.07714 (1000-2499), 0.07072 (2500-4999), 0.06429 (5000+)"
C13,1,1uF,CAP CER 1UF 50V X7R 1206,TDK Corporation,50V,10%,CGA5L3X7R1H105K160AB,OK,445-5702-1-ND,Cut Tape (CT),231705,1,"CAD 0.51 (1-9), 0.347 (10-49), 0.2314 (50-99), 0.1967 (100-499), 0.13884 (500-999), 0.12149 (1000+)"
C15,1,560pF,CAP CER 560PF 50V X7R 0402,YAGEO,50V,10%,CC0402KRX7R9BB561,OK,311-1029-1-ND,Cut Tape (CT),490312,1,"CAD 0.14 (1-9), 0.046 (10-49), 0.0246 (50-99), 0.0202 (100-499), 0.01442 (500-999), 0.01134 (1000-2499), 0.01031 (2500-4999), 0.00948 (5000+)"
R21,1,10R0,RES SMD 10 OHM 0.1% 1/4W 0805,TE Connectivity Passive Product,100V,0.1%,2-1625868-7,OK,A110351CT-ND,Cut Tape (CT),16159,1,"CAD 0.94 (1-9), 0.699 (10-99), 0.4066 (100+)"
C22-C23,2,10uF,CAP CER 10UF 50V X5R 1206,Murata Electronics,50V,10%,GRT31CR61H106ME01L,OK,490-12457-1-ND,Cut Tape (CT),403829,1,"CAD 0.64 (1-9), 0.44 (10-49), 0.3078 (50-99), 0.2638 (100-499), 0.19784 (500-999), 0.16705 (1000+)"
"R1, R25",2,1K96,RES 1.96K OHM 0.1% 1/10W 0402,Vishay Dale,50V,0.1%,TNPW04021K96BEED,OK,TNP1.96KDACT-ND,Cut Tape (CT),7248,1,"CAD 0.87 (1-9), 0.619 (10-99), 0.3219 (100-999), 0.17332 (1000-2499), 0.16713 (2500-4999), 0.16466 (5000+)"
R4,1,200K,RES SMD 200K OHM 0.1% 1/16W 0402,YAGEO,50V,0.1%,RT0402BRD07200KL,OK,YAG4202CT-ND,Cut Tape (CT),62018,1,"CAD 0.66 (1-9), 0.475 (10-99), 0.1895 (100-999), 0.09341 (1000-2499), 0.08654 (2500-4999), 0.0783 (5000+)"
U1,1,ADUM7440ARQZ,DGTL ISO 1000VRMS 4CH GP 16QSOP,Analog Devices Inc.,,,ADUM7440ARQZ-RL7,OK,ADUM7440ARQZ-RL7CT-ND,Cut Tape (CT),251,1,"CAD 6.41 (1-9), 5.763 (10-24), 5.4484 (25-99), 4.7218 (100-249), 4.47976 (250-499), 4.01968 (500+)"
U8-U9,2,TLV9302IDR,IC OPAMP GP 2 CIRCUIT 8SOIC,Texas Instruments,,,TLV9302IDR,OK,296-53513-1-ND,Cut Tape (CT),0,1,"CAD 1.43 (1-9), 1.276 (10-24), 1.2116 (25-99), 0.9953 (100-249), 0.9304 (250-499), 0.82222 (500-999), 0.71444 (1000+)"
U7,1,TLV9301IDBVR,IC OPAMP GP 1 CIRCUIT SOT23-5,Texas Instruments,,,TLV9301IDBVR,OK,296-TLV9301IDBVRCT-ND,Cut Tape (CT),0,1,"CAD 1.09 (1-9), 0.954 (10-24), 0.896 (25-99), 0.7312 (100-249), 0.6792 (250-499), 0.57804 (500-999), 0.47715 (1000+)"

